Time;IP_SRC;IP_DST;IP_TTL;IP_LEN;TCP_SPORT;TCP_DPORT;TCP_SEQ;TCP_ACK;TIME_ORIGEM;TIME_DELTA;ARQUIVO;TESTE;ALGORITMO;LOTE
1659669828.70899891853;10.1.1.1;10.2.1.1;59;500;54321;1234;37;0;1659669828.68283295631;0.02616596222;purr2.log;purr2;purr;142390
1659669828.75252890587;10.1.1.1;10.2.1.1;59;500;54321;1234;38;0;1659669828.72062492371;0.03190398216;purr2.log;purr2;purr;142390
1659669828.79876303673;10.1.1.1;10.2.1.1;59;500;54321;1234;39;0;1659669828.75636196136;0.04240107536;purr2.log;purr2;purr;142390
1659669828.83654689789;10.1.1.1;10.2.1.1;59;500;54321;1234;40;0;1659669828.80259609222;0.03395080566;purr2.log;purr2;purr;142390
1659669828.88159203529;10.1.1.1;10.2.1.1;59;500;54321;1234;41;0;1659669828.85066795349;0.03092408180;purr2.log;purr2;purr;142390
1659669828.91524004936;10.1.1.1;10.2.1.1;59;500;54321;1234;42;0;1659669828.88354206085;0.03169798851;purr2.log;purr2;purr;142390
1659669828.94560503960;10.1.1.1;10.2.1.1;59;500;54321;1234;43;0;1659669828.91707801819;0.02852702141;purr2.log;purr2;purr;142390
1659669828.98950791359;10.1.1.1;10.2.1.1;59;500;54321;1234;44;0;1659669828.95480108261;0.03470683098;purr2.log;purr2;purr;142390
1659669829.02211999893;10.1.1.1;10.2.1.1;59;500;54321;1234;45;0;1659669828.99228501320;0.02983498573;purr2.log;purr2;purr;142390
1659669829.06990289688;10.1.1.1;10.2.1.1;59;500;54321;1234;46;0;1659669829.03457903862;0.03532385826;purr2.log;purr2;purr;142390
1659669829.09289908409;10.1.1.1;10.2.1.1;59;500;54321;1234;47;0;1659669829.06661891937;0.02628016472;purr2.log;purr2;purr;142390
1659669829.13459801674;10.1.1.1;10.2.1.1;59;500;54321;1234;48;0;1659669829.10342597961;0.03117203712;purr2.log;purr2;purr;142390
1659669829.17631196976;10.1.1.1;10.2.1.1;59;500;54321;1234;49;0;1659669829.14320111275;0.03311085701;purr2.log;purr2;purr;142390
1659669829.22142910957;10.1.1.1;10.2.1.1;59;500;54321;1234;50;0;1659669829.18761205673;0.03381705284;purr2.log;purr2;purr;142390
1659669829.25188207626;10.1.1.1;10.2.1.1;59;500;54321;1234;51;0;1659669829.22381806374;0.02806401253;purr2.log;purr2;purr;142390
1659669829.28176403046;10.1.1.1;10.2.1.1;59;500;54321;1234;52;0;1659669829.25435209274;0.02741193771;purr2.log;purr2;purr;142390
