Time;IP_SRC;IP_DST;IP_TTL;IP_LEN;TCP_SPORT;TCP_DPORT;TCP_SEQ;TCP_ACK;TIME_ORIGEM;TIME_DELTA;ARQUIVO;TESTE;ALGORITMO;LOTE;log
1641343856.27015900612;10.1.1.1;10.2.1.1;59;500;54321;1234;35;0;1641343856.23804903030;0.03210997581;limpo2.log;limpo2;limpo;213611;1112
1641343856.33626604080;10.1.1.1;10.2.1.1;59;500;54321;1234;36;0;1641343856.27043700218;0.06582903862;limpo2.log;limpo2;limpo;213611;1112
1641343856.37380504608;10.1.1.1;10.2.1.1;59;500;54321;1234;37;0;1641343856.33853507042;0.03526997566;limpo2.log;limpo2;limpo;213611;1112
1641343856.40908098221;10.1.1.1;10.2.1.1;59;500;54321;1234;38;0;1641343856.37415194511;0.03492903709;limpo2.log;limpo2;limpo;213611;1112
1641343856.46903991699;10.1.1.1;10.2.1.1;59;500;54321;1234;39;0;1641343856.41090488434;0.05813503265;limpo2.log;limpo2;limpo;213611;1112
1641343856.51170992851;10.1.1.1;10.2.1.1;59;500;54321;1234;40;0;1641343856.47037696838;0.04133296013;limpo2.log;limpo2;limpo;213611;1112
1641343856.61432909966;10.1.1.1;10.2.1.1;59;500;54321;1234;41;0;1641343856.51438593864;0.09994316101;limpo2.log;limpo2;limpo;213611;1112
1641343856.69488501549;10.1.1.1;10.2.1.1;59;500;54321;1234;42;0;1641343856.62200403214;0.07288098335;limpo2.log;limpo2;limpo;213611;1112
1641343856.75981211662;10.1.1.1;10.2.1.1;59;500;54321;1234;43;0;1641343856.69866991043;0.06114220619;limpo2.log;limpo2;limpo;213611;1112
1641343856.80637407303;10.1.1.1;10.2.1.1;59;500;54321;1234;44;0;1641343856.75860691071;0.04776716232;limpo2.log;limpo2;limpo;213611;1112
1641343856.85791611671;10.1.1.1;10.2.1.1;59;500;54321;1234;45;0;1641343856.81005406380;0.04786205292;limpo2.log;limpo2;limpo;213611;1112
1641343856.89812397957;10.1.1.1;10.2.1.1;59;500;54321;1234;46;0;1641343856.85820603371;0.03991794586;limpo2.log;limpo2;limpo;213611;1112
