Time;IP_SRC;IP_DST;IP_TTL;IP_LEN;TCP_SPORT;TCP_DPORT;TCP_SEQ;TCP_ACK;TIME_ORIGEM;TIME_DELTA;ARQUIVO;TESTE;ALGORITMO;LOTE;log
1641034640.17846894264;10.1.1.1;10.2.1.1;59;500;54321;1234;40;0;1641034640.14976501465;0.02870392799;rotor3.log;rotor3;rotor;281164;1112
1641034640.20993804932;10.1.1.1;10.2.1.1;59;500;54321;1234;41;0;1641034640.18163108826;0.02830696106;rotor3.log;rotor3;rotor;281164;1112
1641034640.24974894524;10.1.1.1;10.2.1.1;59;500;54321;1234;42;0;1641034640.21003293991;0.03971600533;rotor3.log;rotor3;rotor;281164;1112
1641034640.28261709213;10.1.1.1;10.2.1.1;59;500;54321;1234;43;0;1641034640.24985909462;0.03275799751;rotor3.log;rotor3;rotor;281164;1112
1641034640.35005593300;10.1.1.1;10.2.1.1;59;500;54321;1234;44;0;1641034640.28889107704;0.06116485596;rotor3.log;rotor3;rotor;281164;1112
1641034640.46957802773;10.1.1.1;10.2.1.1;59;500;54321;1234;45;0;1641034640.35295510292;0.11662292480;rotor3.log;rotor3;rotor;281164;1112
1641034640.58795905113;10.1.1.1;10.2.1.1;59;500;54321;1234;46;0;1641034640.47404503822;0.11391401291;rotor3.log;rotor3;rotor;281164;1112
1641034640.66969895363;10.1.1.1;10.2.1.1;59;500;54321;1234;47;0;1641034640.59096503258;0.07873392105;rotor3.log;rotor3;rotor;281164;1112
1641034640.74875593185;10.1.1.1;10.2.1.1;59;500;54321;1234;48;0;1641034640.67802596092;0.07072997093;rotor3.log;rotor3;rotor;281164;1112
1641034640.82267999649;10.1.1.1;10.2.1.1;59;500;54321;1234;49;0;1641034640.75410795212;0.06857204437;rotor3.log;rotor3;rotor;281164;1112
1641034640.88641905785;10.1.1.1;10.2.1.1;59;500;54321;1234;50;0;1641034640.82628989220;0.06012916565;rotor3.log;rotor3;rotor;281164;1112
1641034640.99776601791;10.1.1.1;10.2.1.1;59;500;54321;1234;51;0;1641034640.88955497742;0.10821104050;rotor3.log;rotor3;rotor;281164;1112
1641034641.10723590851;10.1.1.1;10.2.1.1;59;500;54321;1234;52;0;1641034640.99867701530;0.10855889320;rotor3.log;rotor3;rotor;281164;1112
1641034641.18940901756;10.1.1.1;10.2.1.1;59;500;54321;1234;53;0;1641034641.11045789719;0.07895112038;rotor3.log;rotor3;rotor;281164;1112
1641034641.29444503784;10.1.1.1;10.2.1.1;59;500;54321;1234;54;0;1641034641.18977999687;0.10466504097;rotor3.log;rotor3;rotor;281164;1112
1641034641.34762692451;10.1.1.1;10.2.1.1;59;500;54321;1234;55;0;1641034641.29994106293;0.04768586159;rotor3.log;rotor3;rotor;281164;1112
1641034641.41906404495;10.1.1.1;10.2.1.1;59;500;54321;1234;56;0;1641034641.34658002853;0.07248401642;rotor3.log;rotor3;rotor;281164;1112
1641034641.51116490364;10.1.1.1;10.2.1.1;59;500;54321;1234;57;0;1641034641.41875696182;0.09240794182;rotor3.log;rotor3;rotor;281164;1112
1641034641.58767700195;10.1.1.1;10.2.1.1;59;500;54321;1234;58;0;1641034641.51370310783;0.07397389412;rotor3.log;rotor3;rotor;281164;1112
1641034641.63016295433;10.1.1.1;10.2.1.1;59;500;54321;1234;59;0;1641034641.58694005013;0.04322290421;rotor3.log;rotor3;rotor;281164;1112
1641034641.70727610588;10.1.1.1;10.2.1.1;59;500;54321;1234;60;0;1641034641.63675689697;0.07051920891;rotor3.log;rotor3;rotor;281164;1112
1641034641.85606503487;10.1.1.1;10.2.1.1;59;500;54321;1234;61;0;1641034641.71851801872;0.13754701614;rotor3.log;rotor3;rotor;281164;1112
1641034641.93566107750;10.1.1.1;10.2.1.1;59;500;54321;1234;62;0;1641034641.85791707039;0.07774400711;rotor3.log;rotor3;rotor;281164;1112
1641034641.96906399727;10.1.1.1;10.2.1.1;59;500;54321;1234;63;0;1641034641.94269704819;0.02636694908;rotor3.log;rotor3;rotor;281164;1112
1641034642.00719690323;10.1.1.1;10.2.1.1;59;500;54321;1234;64;0;1641034641.97021293640;0.03698396683;rotor3.log;rotor3;rotor;281164;1112
1641034642.06612992287;10.1.1.1;10.2.1.1;59;500;54321;1234;65;0;1641034642.01065397263;0.05547595024;rotor3.log;rotor3;rotor;281164;1112
1641034642.11685204506;10.1.1.1;10.2.1.1;59;500;54321;1234;66;0;1641034642.06708598137;0.04976606369;rotor3.log;rotor3;rotor;281164;1112
1641034642.17380690575;10.1.1.1;10.2.1.1;59;500;54321;1234;67;0;1641034642.11904597282;0.05476093292;rotor3.log;rotor3;rotor;281164;1112
