Time;IP_SRC;IP_DST;IP_TTL;IP_LEN;TCP_SPORT;TCP_DPORT;TCP_SEQ;TCP_ACK;TIME_ORIGEM;TIME_DELTA;ARQUIVO;TESTE;ALGORITMO;LOTE
1643306651.39768600464;10.1.1.1;10.2.1.1;59;500;54321;1234;36;0;1643306651.37523007393;0.02245593071;limpo3.log;limpo3;limpo;710013
1643306651.43481993675;10.1.1.1;10.2.1.1;59;500;54321;1234;37;0;1643306651.40722489357;0.02759504318;limpo3.log;limpo3;limpo;710013
1643306651.46633005142;10.1.1.1;10.2.1.1;59;500;54321;1234;38;0;1643306651.43932509422;0.02700495720;limpo3.log;limpo3;limpo;710013
1643306651.49751400948;10.1.1.1;10.2.1.1;59;500;54321;1234;39;0;1643306651.47146511078;0.02604889870;limpo3.log;limpo3;limpo;710013
1643306651.55867290497;10.1.1.1;10.2.1.1;59;500;54321;1234;40;0;1643306651.51944303513;0.03922986984;limpo3.log;limpo3;limpo;710013
1643306651.59564805031;10.1.1.1;10.2.1.1;59;500;54321;1234;41;0;1643306651.56410694122;0.03154110909;limpo3.log;limpo3;limpo;710013
1643306651.63796091080;10.1.1.1;10.2.1.1;59;500;54321;1234;42;0;1643306651.60337805748;0.03458285332;limpo3.log;limpo3;limpo;710013
1643306651.67159295082;10.1.1.1;10.2.1.1;59;500;54321;1234;43;0;1643306651.63972401619;0.03186893463;limpo3.log;limpo3;limpo;710013
1643306651.72186398506;10.1.1.1;10.2.1.1;59;500;54321;1234;44;0;1643306651.67543005943;0.04643392563;limpo3.log;limpo3;limpo;710013
1643306651.75729990005;10.1.1.1;10.2.1.1;59;500;54321;1234;45;0;1643306651.73674106598;0.02055883408;limpo3.log;limpo3;limpo;710013
1643306651.78885388374;10.1.1.1;10.2.1.1;59;500;54321;1234;46;0;1643306651.75939893723;0.02945494652;limpo3.log;limpo3;limpo;710013
1643306651.83803009987;10.1.1.1;10.2.1.1;59;500;54321;1234;47;0;1643306651.79161691666;0.04641318321;limpo3.log;limpo3;limpo;710013
1643306651.88332891464;10.1.1.1;10.2.1.1;59;500;54321;1234;48;0;1643306651.84442806244;0.03890085220;limpo3.log;limpo3;limpo;710013
1643306651.92033004761;10.1.1.1;10.2.1.1;59;500;54321;1234;49;0;1643306651.88800191879;0.03232812881;limpo3.log;limpo3;limpo;710013
1643306651.95724511147;10.1.1.1;10.2.1.1;59;500;54321;1234;50;0;1643306651.93235802650;0.02488708496;limpo3.log;limpo3;limpo;710013
1643306651.99645590782;10.1.1.1;10.2.1.1;59;500;54321;1234;51;0;1643306651.96820402145;0.02825188637;limpo3.log;limpo3;limpo;710013
1643306652.03259491920;10.1.1.1;10.2.1.1;59;500;54321;1234;52;0;1643306652.00457406044;0.02802085876;limpo3.log;limpo3;limpo;710013
1643306652.07340192795;10.1.1.1;10.2.1.1;59;500;54321;1234;53;0;1643306652.04013299942;0.03326892853;limpo3.log;limpo3;limpo;710013
1643306652.11369299889;10.1.1.1;10.2.1.1;59;500;54321;1234;54;0;1643306652.07928299904;0.03440999985;limpo3.log;limpo3;limpo;710013
1643306652.14562106133;10.1.1.1;10.2.1.1;59;500;54321;1234;55;0;1643306652.12349891663;0.02212214470;limpo3.log;limpo3;limpo;710013
1643306652.20054602623;10.1.1.1;10.2.1.1;59;500;54321;1234;56;0;1643306652.15590000153;0.04464602470;limpo3.log;limpo3;limpo;710013
1643306652.25533390045;10.1.1.1;10.2.1.1;59;500;54321;1234;57;0;1643306652.21992111206;0.03541278839;limpo3.log;limpo3;limpo;710013
1643306652.29342103004;10.1.1.1;10.2.1.1;59;500;54321;1234;58;0;1643306652.26778197289;0.02563905716;limpo3.log;limpo3;limpo;710013
1643306652.33159589767;10.1.1.1;10.2.1.1;59;500;54321;1234;59;0;1643306652.29955601692;0.03203988075;limpo3.log;limpo3;limpo;710013
1643306652.36789202690;10.1.1.1;10.2.1.1;59;500;54321;1234;60;0;1643306652.33599591255;0.03189611435;limpo3.log;limpo3;limpo;710013
1643306652.41192102432;10.1.1.1;10.2.1.1;59;500;54321;1234;61;0;1643306652.37627410889;0.03564691544;limpo3.log;limpo3;limpo;710013
1643306652.45230388641;10.1.1.1;10.2.1.1;59;500;54321;1234;62;0;1643306652.41815710068;0.03414678574;limpo3.log;limpo3;limpo;710013
1643306652.49921298027;10.1.1.1;10.2.1.1;59;500;54321;1234;63;0;1643306652.45730495453;0.04190802574;limpo3.log;limpo3;limpo;710013
1643306652.54236197472;10.1.1.1;10.2.1.1;59;500;54321;1234;64;0;1643306652.50348210335;0.03887987137;limpo3.log;limpo3;limpo;710013
1643306652.58120608330;10.1.1.1;10.2.1.1;59;500;54321;1234;65;0;1643306652.54975104332;0.03145503998;limpo3.log;limpo3;limpo;710013
1643306652.60883808136;10.1.1.1;10.2.1.1;59;500;54321;1234;66;0;1643306652.58771991730;0.02111816406;limpo3.log;limpo3;limpo;710013
1643306652.64975810051;10.1.1.1;10.2.1.1;59;500;54321;1234;67;0;1643306652.61974906921;0.03000903130;limpo3.log;limpo3;limpo;710013
1643306652.68901705742;10.1.1.1;10.2.1.1;59;500;54321;1234;68;0;1643306652.65616798401;0.03284907341;limpo3.log;limpo3;limpo;710013
1643306652.72961497307;10.1.1.1;10.2.1.1;59;500;54321;1234;69;0;1643306652.69577193260;0.03384304047;limpo3.log;limpo3;limpo;710013
1643306652.76767301559;10.1.1.1;10.2.1.1;59;500;54321;1234;70;0;1643306652.73920106888;0.02847194672;limpo3.log;limpo3;limpo;710013
1643306652.79737401009;10.1.1.1;10.2.1.1;59;500;54321;1234;71;0;1643306652.77525496483;0.02211904526;limpo3.log;limpo3;limpo;710013
1643306652.84613609314;10.1.1.1;10.2.1.1;59;500;54321;1234;72;0;1643306652.81208896637;0.03404712677;limpo3.log;limpo3;limpo;710013
1643306652.88561105728;10.1.1.1;10.2.1.1;59;500;54321;1234;73;0;1643306652.85406088829;0.03155016899;limpo3.log;limpo3;limpo;710013
1643306652.93073105812;10.1.1.1;10.2.1.1;59;500;54321;1234;74;0;1643306652.88904404640;0.04168701172;limpo3.log;limpo3;limpo;710013
1643306652.95730710030;10.1.1.1;10.2.1.1;59;500;54321;1234;75;0;1643306652.92749309540;0.02981400490;limpo3.log;limpo3;limpo;710013
1643306652.98537397385;10.1.1.1;10.2.1.1;59;500;54321;1234;76;0;1643306652.96321010590;0.02216386795;limpo3.log;limpo3;limpo;710013
1643306653.02015590668;10.1.1.1;10.2.1.1;59;500;54321;1234;77;0;1643306652.99159598351;0.02855992317;limpo3.log;limpo3;limpo;710013
1643306653.05362701416;10.1.1.1;10.2.1.1;59;500;54321;1234;78;0;1643306653.02095699310;0.03267002106;limpo3.log;limpo3;limpo;710013
1643306653.08550500870;10.1.1.1;10.2.1.1;59;500;54321;1234;79;0;1643306653.06017708778;0.02532792091;limpo3.log;limpo3;limpo;710013
1643306653.11378788948;10.1.1.1;10.2.1.1;59;500;54321;1234;80;0;1643306653.09184193611;0.02194595337;limpo3.log;limpo3;limpo;710013
1643306653.14981698990;10.1.1.1;10.2.1.1;59;500;54321;1234;81;0;1643306653.11943006516;0.03038692474;limpo3.log;limpo3;limpo;710013
1643306653.18544006348;10.1.1.1;10.2.1.1;59;500;54321;1234;82;0;1643306653.15641999245;0.02902007103;limpo3.log;limpo3;limpo;710013
1643306653.21708989143;10.1.1.1;10.2.1.1;59;500;54321;1234;83;0;1643306653.19529891014;0.02179098129;limpo3.log;limpo3;limpo;710013
1643306653.24988293648;10.1.1.1;10.2.1.1;59;500;54321;1234;84;0;1643306653.22337794304;0.02650499344;limpo3.log;limpo3;limpo;710013
1643306653.28653311729;10.1.1.1;10.2.1.1;59;500;54321;1234;85;0;1643306653.25634503365;0.03018808365;limpo3.log;limpo3;limpo;710013
1643306653.32175111771;10.1.1.1;10.2.1.1;59;500;54321;1234;86;0;1643306653.29255700111;0.02919411659;limpo3.log;limpo3;limpo;710013
1643306653.35426306725;10.1.1.1;10.2.1.1;59;500;54321;1234;87;0;1643306653.33123302460;0.02303004265;limpo3.log;limpo3;limpo;710013
1643306653.38829708099;10.1.1.1;10.2.1.1;59;500;54321;1234;88;0;1643306653.36047101021;0.02782607079;limpo3.log;limpo3;limpo;710013
1643306653.43004703522;10.1.1.1;10.2.1.1;59;500;54321;1234;89;0;1643306653.39561510086;0.03443193436;limpo3.log;limpo3;limpo;710013
1643306653.47020506859;10.1.1.1;10.2.1.1;59;500;54321;1234;90;0;1643306653.43580794334;0.03439712524;limpo3.log;limpo3;limpo;710013
1643306653.49924397469;10.1.1.1;10.2.1.1;59;500;54321;1234;91;0;1643306653.47561502457;0.02362895012;limpo3.log;limpo3;limpo;710013
1643306653.52159094810;10.1.1.1;10.2.1.1;59;500;54321;1234;92;0;1643306653.50383305550;0.01775789261;limpo3.log;limpo3;limpo;710013
1643306653.54956507683;10.1.1.1;10.2.1.1;59;500;54321;1234;93;0;1643306653.53124690056;0.01831817627;limpo3.log;limpo3;limpo;710013
1643306653.58540511131;10.1.1.1;10.2.1.1;59;500;54321;1234;94;0;1643306653.56324291229;0.02216219902;limpo3.log;limpo3;limpo;710013
1643306653.61964511871;10.1.1.1;10.2.1.1;59;500;54321;1234;95;0;1643306653.59525799751;0.02438712120;limpo3.log;limpo3;limpo;710013
1643306653.67274093628;10.1.1.1;10.2.1.1;59;500;54321;1234;96;0;1643306653.62780404091;0.04493689537;limpo3.log;limpo3;limpo;710013
1643306653.69861292839;10.1.1.1;10.2.1.1;59;500;54321;1234;97;0;1643306653.67529106140;0.02332186699;limpo3.log;limpo3;limpo;710013
1643306653.73338198662;10.1.1.1;10.2.1.1;59;500;54321;1234;98;0;1643306653.70798397064;0.02539801598;limpo3.log;limpo3;limpo;710013
1643306653.77186489105;10.1.1.1;10.2.1.1;59;500;54321;1234;99;0;1643306653.74048495293;0.03137993813;limpo3.log;limpo3;limpo;710013
1643306653.81290698051;10.1.1.1;10.2.1.1;59;500;54321;1234;100;0;1643306653.77925109863;0.03365588188;limpo3.log;limpo3;limpo;710013
1643306653.84617590904;10.1.1.1;10.2.1.1;59;500;54321;1234;101;0;1643306653.81234502792;0.03383088112;limpo3.log;limpo3;limpo;710013
1643306653.87858510017;10.1.1.1;10.2.1.1;59;500;54321;1234;102;0;1643306653.85396790504;0.02461719513;limpo3.log;limpo3;limpo;710013
1643306653.91423201561;10.1.1.1;10.2.1.1;59;500;54321;1234;103;0;1643306653.88534188271;0.02889013290;limpo3.log;limpo3;limpo;710013
1643306653.94709992409;10.1.1.1;10.2.1.1;59;500;54321;1234;104;0;1643306653.91626191139;0.03083801270;limpo3.log;limpo3;limpo;710013
1643306653.98514294624;10.1.1.1;10.2.1.1;59;500;54321;1234;105;0;1643306653.95449209213;0.03065085411;limpo3.log;limpo3;limpo;710013
1643306654.02140092850;10.1.1.1;10.2.1.1;59;500;54321;1234;106;0;1643306653.98818802834;0.03321290016;limpo3.log;limpo3;limpo;710013
1643306654.05725598335;10.1.1.1;10.2.1.1;59;500;54321;1234;107;0;1643306654.02422595024;0.03303003311;limpo3.log;limpo3;limpo;710013
1643306654.09317803383;10.1.1.1;10.2.1.1;59;500;54321;1234;108;0;1643306654.06008696556;0.03309106827;limpo3.log;limpo3;limpo;710013
1643306654.12878799438;10.1.1.1;10.2.1.1;59;500;54321;1234;109;0;1643306654.09623003006;0.03255796432;limpo3.log;limpo3;limpo;710013
1643306654.16559290886;10.1.1.1;10.2.1.1;59;500;54321;1234;110;0;1643306654.13221096992;0.03338193893;limpo3.log;limpo3;limpo;710013
1643306654.19978690147;10.1.1.1;10.2.1.1;59;500;54321;1234;111;0;1643306654.16822695732;0.03155994415;limpo3.log;limpo3;limpo;710013
1643306654.23755407333;10.1.1.1;10.2.1.1;59;500;54321;1234;112;0;1643306654.20458197594;0.03297209740;limpo3.log;limpo3;limpo;710013
1643306654.27442193031;10.1.1.1;10.2.1.1;59;500;54321;1234;113;0;1643306654.24019789696;0.03422403336;limpo3.log;limpo3;limpo;710013
1643306654.30979800224;10.1.1.1;10.2.1.1;59;500;54321;1234;114;0;1643306654.28172492981;0.02807307243;limpo3.log;limpo3;limpo;710013
1643306654.34444403648;10.1.1.1;10.2.1.1;59;500;54321;1234;115;0;1643306654.31211304665;0.03233098984;limpo3.log;limpo3;limpo;710013
1643306654.38522791862;10.1.1.1;10.2.1.1;59;500;54321;1234;116;0;1643306654.34821009636;0.03701782227;limpo3.log;limpo3;limpo;710013
1643306654.41989588737;10.1.1.1;10.2.1.1;59;500;54321;1234;117;0;1643306654.38835000992;0.03154587746;limpo3.log;limpo3;limpo;710013
1643306654.45302605629;10.1.1.1;10.2.1.1;59;500;54321;1234;118;0;1643306654.42407202721;0.02895402908;limpo3.log;limpo3;limpo;710013
1643306654.48553299904;10.1.1.1;10.2.1.1;59;500;54321;1234;119;0;1643306654.45578002930;0.02975296974;limpo3.log;limpo3;limpo;710013
1643306654.52450108528;10.1.1.1;10.2.1.1;59;500;54321;1234;120;0;1643306654.48954510689;0.03495597839;limpo3.log;limpo3;limpo;710013
1643306654.55762600899;10.1.1.1;10.2.1.1;59;500;54321;1234;121;0;1643306654.52810192108;0.02952408791;limpo3.log;limpo3;limpo;710013
1643306654.59551692009;10.1.1.1;10.2.1.1;59;500;54321;1234;122;0;1643306654.56045699120;0.03505992889;limpo3.log;limpo3;limpo;710013
1643306654.63008594513;10.1.1.1;10.2.1.1;59;500;54321;1234;123;0;1643306654.60044002533;0.02964591980;limpo3.log;limpo3;limpo;710013
1643306654.66504693031;10.1.1.1;10.2.1.1;59;500;54321;1234;124;0;1643306654.63221311569;0.03283381462;limpo3.log;limpo3;limpo;710013
1643306654.70008802414;10.1.1.1;10.2.1.1;59;500;54321;1234;125;0;1643306654.66820693016;0.03188109398;limpo3.log;limpo3;limpo;710013
1643306654.73372793198;10.1.1.1;10.2.1.1;59;500;54321;1234;126;0;1643306654.70027399063;0.03345394135;limpo3.log;limpo3;limpo;710013
1643306654.77936291695;10.1.1.1;10.2.1.1;59;500;54321;1234;127;0;1643306654.73638105392;0.04298186302;limpo3.log;limpo3;limpo;710013
1643306654.81775403023;10.1.1.1;10.2.1.1;59;500;54321;1234;128;0;1643306654.78039693832;0.03735709190;limpo3.log;limpo3;limpo;710013
1643306654.85814309120;10.1.1.1;10.2.1.1;59;500;54321;1234;129;0;1643306654.82434010506;0.03380298615;limpo3.log;limpo3;limpo;710013
1643306654.89844989777;10.1.1.1;10.2.1.1;59;500;54321;1234;130;0;1643306654.86013793945;0.03831195831;limpo3.log;limpo3;limpo;710013
1643306654.93802905083;10.1.1.1;10.2.1.1;59;500;54321;1234;131;0;1643306654.90437006950;0.03365898132;limpo3.log;limpo3;limpo;710013
1643306654.97487902641;10.1.1.1;10.2.1.1;59;500;54321;1234;132;0;1643306654.93707203865;0.03780698776;limpo3.log;limpo3;limpo;710013
1643306655.00969600677;10.1.1.1;10.2.1.1;59;500;54321;1234;133;0;1643306654.98031997681;0.02937602997;limpo3.log;limpo3;limpo;710013
1643306655.04590511322;10.1.1.1;10.2.1.1;59;500;54321;1234;134;0;1643306655.00802111626;0.03788399696;limpo3.log;limpo3;limpo;710013
1643306655.09045910835;10.1.1.1;10.2.1.1;59;500;54321;1234;135;0;1643306655.05682992935;0.03362917900;limpo3.log;limpo3;limpo;710013
1643306655.13434791565;10.1.1.1;10.2.1.1;59;500;54321;1234;136;0;1643306655.09639406204;0.03795385361;limpo3.log;limpo3;limpo;710013
1643306655.17463207245;10.1.1.1;10.2.1.1;59;500;54321;1234;137;0;1643306655.14480209351;0.02982997894;limpo3.log;limpo3;limpo;710013
1643306655.21319508553;10.1.1.1;10.2.1.1;59;500;54321;1234;138;0;1643306655.17686295509;0.03633213043;limpo3.log;limpo3;limpo;710013
1643306655.25779795647;10.1.1.1;10.2.1.1;59;500;54321;1234;139;0;1643306655.22022700310;0.03757095337;limpo3.log;limpo3;limpo;710013
1643306655.30218100548;10.1.1.1;10.2.1.1;59;500;54321;1234;140;0;1643306655.26876211166;0.03341889381;limpo3.log;limpo3;limpo;710013
1643306655.34117794037;10.1.1.1;10.2.1.1;59;500;54321;1234;141;0;1643306655.30840110779;0.03277683258;limpo3.log;limpo3;limpo;710013
1643306655.38211798668;10.1.1.1;10.2.1.1;59;500;54321;1234;142;0;1643306655.34403491020;0.03808307648;limpo3.log;limpo3;limpo;710013
1643306655.41772198677;10.1.1.1;10.2.1.1;59;500;54321;1234;143;0;1643306655.38060688972;0.03711509705;limpo3.log;limpo3;limpo;710013
1643306655.46658992767;10.1.1.1;10.2.1.1;59;500;54321;1234;144;0;1643306655.42882990837;0.03776001930;limpo3.log;limpo3;limpo;710013
1643306655.50066304207;10.1.1.1;10.2.1.1;59;500;54321;1234;145;0;1643306655.46822190285;0.03244113922;limpo3.log;limpo3;limpo;710013
1643306655.53401708603;10.1.1.1;10.2.1.1;59;500;54321;1234;146;0;1643306655.50883889198;0.02517819405;limpo3.log;limpo3;limpo;710013
1643306655.57487702370;10.1.1.1;10.2.1.1;59;500;54321;1234;147;0;1643306655.53985691071;0.03502011299;limpo3.log;limpo3;limpo;710013
1643306655.60992002487;10.1.1.1;10.2.1.1;59;500;54321;1234;148;0;1643306655.57648491859;0.03343510628;limpo3.log;limpo3;limpo;710013
1643306655.64600110054;10.1.1.1;10.2.1.1;59;500;54321;1234;149;0;1643306655.60838890076;0.03761219978;limpo3.log;limpo3;limpo;710013
1643306655.69847393036;10.1.1.1;10.2.1.1;59;500;54321;1234;150;0;1643306655.65680003166;0.04167389870;limpo3.log;limpo3;limpo;710013
1643306655.73768711090;10.1.1.1;10.2.1.1;59;500;54321;1234;151;0;1643306655.69636392593;0.04132318497;limpo3.log;limpo3;limpo;710013
1643306655.78601908684;10.1.1.1;10.2.1.1;59;500;54321;1234;152;0;1643306655.74431991577;0.04169917107;limpo3.log;limpo3;limpo;710013
1643306655.82194304466;10.1.1.1;10.2.1.1;59;500;54321;1234;153;0;1643306655.78450703621;0.03743600845;limpo3.log;limpo3;limpo;710013
1643306655.87039804459;10.1.1.1;10.2.1.1;59;500;54321;1234;154;0;1643306655.83315396309;0.03724408150;limpo3.log;limpo3;limpo;710013
1643306655.90574502945;10.1.1.1;10.2.1.1;59;500;54321;1234;155;0;1643306655.87226295471;0.03348207474;limpo3.log;limpo3;limpo;710013
1643306655.94226098061;10.1.1.1;10.2.1.1;59;500;54321;1234;156;0;1643306655.90431809425;0.03794288635;limpo3.log;limpo3;limpo;710013
1643306655.97742605209;10.1.1.1;10.2.1.1;59;500;54321;1234;157;0;1643306655.94439411163;0.03303194046;limpo3.log;limpo3;limpo;710013
1643306656.00996589661;10.1.1.1;10.2.1.1;59;500;54321;1234;158;0;1643306655.97591805458;0.03404784203;limpo3.log;limpo3;limpo;710013
1643306656.04518389702;10.1.1.1;10.2.1.1;59;500;54321;1234;159;0;1643306656.00847911835;0.03670477867;limpo3.log;limpo3;limpo;710013
1643306656.08175611496;10.1.1.1;10.2.1.1;59;500;54321;1234;160;0;1643306656.04451608658;0.03724002838;limpo3.log;limpo3;limpo;710013
1643306656.11847710609;10.1.1.1;10.2.1.1;59;500;54321;1234;161;0;1643306656.08422207832;0.03425502777;limpo3.log;limpo3;limpo;710013
1643306656.14860701561;10.1.1.1;10.2.1.1;59;500;54321;1234;162;0;1643306656.12039208412;0.02821493149;limpo3.log;limpo3;limpo;710013
1643306656.18666696548;10.1.1.1;10.2.1.1;59;500;54321;1234;163;0;1643306656.15202808380;0.03463888168;limpo3.log;limpo3;limpo;710013
1643306656.22125506401;10.1.1.1;10.2.1.1;59;500;54321;1234;164;0;1643306656.19238495827;0.02887010574;limpo3.log;limpo3;limpo;710013
1643306656.26305389404;10.1.1.1;10.2.1.1;59;500;54321;1234;165;0;1643306656.23294997215;0.03010392189;limpo3.log;limpo3;limpo;710013
1643306656.29811000824;10.1.1.1;10.2.1.1;59;500;54321;1234;166;0;1643306656.26406598091;0.03404402733;limpo3.log;limpo3;limpo;710013
1643306656.33370208740;10.1.1.1;10.2.1.1;59;500;54321;1234;167;0;1643306656.30441308022;0.02928900719;limpo3.log;limpo3;limpo;710013
1643306656.37437391281;10.1.1.1;10.2.1.1;59;500;54321;1234;168;0;1643306656.34452509880;0.02984881401;limpo3.log;limpo3;limpo;710013
1643306656.40997505188;10.1.1.1;10.2.1.1;59;500;54321;1234;169;0;1643306656.37628197670;0.03369307518;limpo3.log;limpo3;limpo;710013
1643306656.44970798492;10.1.1.1;10.2.1.1;59;500;54321;1234;170;0;1643306656.42083096504;0.02887701988;limpo3.log;limpo3;limpo;710013
1643306656.48526692390;10.1.1.1;10.2.1.1;59;500;54321;1234;171;0;1643306656.45607495308;0.02919197083;limpo3.log;limpo3;limpo;710013
1643306656.52421092987;10.1.1.1;10.2.1.1;59;500;54321;1234;172;0;1643306656.48390889168;0.04030203819;limpo3.log;limpo3;limpo;710013
1643306656.55673289299;10.1.1.1;10.2.1.1;59;500;54321;1234;173;0;1643306656.52440500259;0.03232789040;limpo3.log;limpo3;limpo;710013
1643306656.59470200539;10.1.1.1;10.2.1.1;59;500;54321;1234;174;0;1643306656.56059408188;0.03410792351;limpo3.log;limpo3;limpo;710013
1643306656.62958598137;10.1.1.1;10.2.1.1;59;500;54321;1234;175;0;1643306656.59692001343;0.03266596794;limpo3.log;limpo3;limpo;710013
1643306656.66550302505;10.1.1.1;10.2.1.1;59;500;54321;1234;176;0;1643306656.63205695152;0.03344607353;limpo3.log;limpo3;limpo;710013
1643306656.70139789581;10.1.1.1;10.2.1.1;59;500;54321;1234;177;0;1643306656.66818404198;0.03321385384;limpo3.log;limpo3;limpo;710013
1643306656.73788499832;10.1.1.1;10.2.1.1;59;500;54321;1234;178;0;1643306656.70418810844;0.03369688988;limpo3.log;limpo3;limpo;710013
1643306656.77356696129;10.1.1.1;10.2.1.1;59;500;54321;1234;179;0;1643306656.74016594887;0.03340101242;limpo3.log;limpo3;limpo;710013
1643306656.80508589745;10.1.1.1;10.2.1.1;59;500;54321;1234;180;0;1643306656.77601909637;0.02906680107;limpo3.log;limpo3;limpo;710013
1643306656.84143996239;10.1.1.1;10.2.1.1;59;500;54321;1234;181;0;1643306656.80808591843;0.03335404396;limpo3.log;limpo3;limpo;710013
